"","state","naics","emp"
"1036","Tennessee","71",24760
"1037","Tennessee","72",149590
"1038","Tennessee","81",50020
"1039","Tennessee","99",181920
"1040","Texas","11",2190
"1041","Texas","21",152100
"1042","Texas","22",34350
"1043","Texas","23",297890
"1044","Texas","31",225340
"1045","Texas","32",100460
"1046","Texas","33",229870
"1047","Texas","42",616740
"1048","Texas","44",1054070
"1049","Texas","45",369470
"1050","Texas","48",112190
"1051","Texas","49",19060
"1052","Texas","51",189860
"1053","Texas","52",711020
"1054","Texas","53",156180
"1055","Texas","54",1119830
"1056","Texas","55",205620
"1057","Texas","56",391860
"1058","Texas","61",1642900
"1059","Texas","62",2463310
"1060","Texas","71",106930
"1061","Texas","72",574540
"1062","Texas","81",225500
"1063","Texas","99",619110
"1064","Utah","11",150
"1065","Utah","21",2450
"1066","Utah","22",1350
"1067","Utah","23",33220
"1068","Utah","31",30650
"1069","Utah","32",8750
"1070","Utah","33",27120
"1071","Utah","42",57930
"1072","Utah","44",143120
"1073","Utah","45",53660
"1074","Utah","48",13620
"1075","Utah","49",2270
"1076","Utah","51",38790
"1077","Utah","52",95650
"1078","Utah","53",21730
"1079","Utah","54",145240
"1080","Utah","55",21750
"1081","Utah","56",46710
"1082","Utah","61",189650
"1083","Utah","62",270090
"1084","Utah","71",15280
"1085","Utah","72",58430
"1086","Utah","81",24710
"1087","Utah","99",97880
"1088","Vermont","23",2620
"1089","Vermont","31",6740
"1090","Vermont","32",530
"1091","Vermont","33",1980
"1092","Vermont","42",6480
"1093","Vermont","44",23030
"1094","Vermont","45",6180
"1095","Vermont","48",710
"1096","Vermont","49",240
"1097","Vermont","51",2930
"1098","Vermont","52",9750
"1099","Vermont","53",1440
"1100","Vermont","54",19750
"1101","Vermont","55",1620
"1102","Vermont","56",2930
"1103","Vermont","61",47570
"1104","Vermont","62",77270
"1105","Vermont","71",1510
"1106","Vermont","72",17390
"1107","Vermont","81",5290
"1108","Vermont","99",18770
"1109","Virgin Islands","23",750
"1110","Virgin Islands","31",40
"1111","Virgin Islands","42",230
"1112","Virgin Islands","44",3700
"1113","Virgin Islands","45",290
"1114","Virgin Islands","48",160
"1115","Virgin Islands","51",120
"1116","Virgin Islands","52",380
"1117","Virgin Islands","53",390
"1118","Virgin Islands","54",660
"1119","Virgin Islands","56",150
"1120","Virgin Islands","61",1740
"1121","Virgin Islands","62",1410
"1122","Virgin Islands","71",90
"1123","Virgin Islands","72",2200
"1124","Virgin Islands","81",180
"1125","Virgin Islands","99",890
"1126","Virginia","11",40
"1127","Virginia","21",610
"1128","Virginia","22",3530
"1129","Virginia","23",68470
"1130","Virginia","31",53540
"1131","Virginia","32",19400
"1132","Virginia","33",31900
"1133","Virginia","42",121160
"1134","Virginia","44",295430
"1135","Virginia","45",83600
"1136","Virginia","48",24490
"1137","Virginia","49",4510
"1138","Virginia","51",69140
"1139","Virginia","52",207500
"1140","Virginia","53",46000
"1141","Virginia","54",674860
"1142","Virginia","55",107550
"1143","Virginia","56",110280
"1144","Virginia","61",547800
"1145","Virginia","62",781930
"1146","Virginia","71",43990
"1147","Virginia","72",157570
"1148","Virginia","81",115380
"1149","Virginia","99",345570
"1150","Washington","11",1130
"1151","Washington","21",170
"1152","Washington","22",2360
"1153","Washington","23",65460
"1154","Washington","31",75150
"1155","Washington","32",17250
"1156","Washington","33",56670
"1157","Washington","42",145560
"1158","Washington","44",271250
"1159","Washington","45",102230
"1160","Washington","48",35130
"1161","Washington","49",2870
"1162","Washington","51",119900
"1163","Washington","52",146760
"1164","Washington","53",37420
"1165","Washington","54",332050
"1166","Washington","55",54600
"1167","Washington","56",78830
"1168","Washington","61",377260
"1169","Washington","62",738840
"1170","Washington","71",36440
"1171","Washington","72",138080
"1172","Washington","81",82700
"1173","Washington","99",257750
"1174","West Virginia","21",3630
"1175","West Virginia","22",3030
"1176","West Virginia","23",8190
"1177","West Virginia","31",8170
"1178","West Virginia","32",5590
"1179","West Virginia","33",3930
"1180","West Virginia","42",16990
"1181","West Virginia","44",61730
"1182","West Virginia","45",21880
"1183","West Virginia","48",1790
"1184","West Virginia","49",580
"1185","West Virginia","51",5620
"1186","West Virginia","52",21900
"1187","West Virginia","53",3730
"1188","West Virginia","54",32130
"1189","West Virginia","55",6750
"1190","West Virginia","56",8830
"1191","West Virginia","61",93790
"1192","West Virginia","62",201940
"1193","West Virginia","71",4010
"1194","West Virginia","72",36200
"1195","West Virginia","81",10700
"1196","West Virginia","99",54870
"1197","Wisconsin","11",1440
"1198","Wisconsin","21",540
"1199","Wisconsin","22",4950
"1200","Wisconsin","23",32570
"1201","Wisconsin","31",119220
"1202","Wisconsin","32",51050
"1203","Wisconsin","33",106750
"1204","Wisconsin","42",129120
"1205","Wisconsin","44",214220
"1206","Wisconsin","45",77650
"1207","Wisconsin","48",14110
"1208","Wisconsin","49",2700
"1209","Wisconsin","51",39990
"1210","Wisconsin","52",172310
"1211","Wisconsin","53",15470
"1212","Wisconsin","54",179220
"1213","Wisconsin","55",91770
"1214","Wisconsin","56",58270
"1215","Wisconsin","61",340730
"1216","Wisconsin","62",625460
"1217","Wisconsin","71",29780
"1218","Wisconsin","72",115660
"1219","Wisconsin","81",77340
"1220","Wisconsin","99",148090
"1221","Wyoming","21",4870
"1222","Wyoming","22",770
"1223","Wyoming","23",3800
"1224","Wyoming","31",1660
"1225","Wyoming","32",370
"1226","Wyoming","33",490
"1227","Wyoming","42",7170
"1228","Wyoming","44",20730
"1229","Wyoming","45",7720
"1230","Wyoming","48",1060
"1231","Wyoming","49",160
"1232","Wyoming","51",2070
"1233","Wyoming","52",9150
"1234","Wyoming","53",2100
"1235","Wyoming","54",13210
"1236","Wyoming","55",330
"1237","Wyoming","56",1620
"1238","Wyoming","61",27250
"1239","Wyoming","62",50960
"1240","Wyoming","71",1140
"1241","Wyoming","72",15700
"1242","Wyoming","81",3360
"1243","Wyoming","99",20840
