"","state","naics","emp"
"216","Florida","48",101730
"217","Florida","49",11180
"218","Florida","51",142130
"219","Florida","52",533030
"220","Florida","53",168000
"221","Florida","54",879110
"222","Florida","55",142560
"223","Florida","56",327120
"224","Florida","61",903630
"225","Florida","62",2105680
"226","Florida","71",107370
"227","Florida","72",587970
"228","Florida","81",190850
"229","Florida","99",481820
"230","Georgia","11",710
"231","Georgia","21",610
"232","Georgia","22",12590
"233","Georgia","23",67400
"234","Georgia","31",90460
"235","Georgia","32",34290
"236","Georgia","33",55380
"237","Georgia","42",225500
"238","Georgia","44",407500
"239","Georgia","45",115730
"240","Georgia","48",37920
"241","Georgia","49",7350
"242","Georgia","51",120130
"243","Georgia","52",244000
"244","Georgia","53",61810
"245","Georgia","54",415490
"246","Georgia","55",105570
"247","Georgia","56",160840
"248","Georgia","61",529860
"249","Georgia","62",909460
"250","Georgia","71",29830
"251","Georgia","72",209090
"252","Georgia","81",83940
"253","Georgia","99",261990
"254","Guam","23",1730
"255","Guam","31",40
"256","Guam","42",1400
"257","Guam","44",4180
"258","Guam","45",1130
"259","Guam","48",220
"260","Guam","51",750
"261","Guam","52",1440
"262","Guam","53",320
"263","Guam","54",840
"264","Guam","56",670
"265","Guam","61",6780
"266","Guam","62",2810
"267","Guam","71",170
"268","Guam","72",6670
"269","Guam","81",430
"270","Guam","99",1410
"271","Hawaii","22",690
"272","Hawaii","23",14790
"273","Hawaii","31",4030
"274","Hawaii","32",140
"275","Hawaii","33",70
"276","Hawaii","42",17230
"277","Hawaii","44",63520
"278","Hawaii","45",19410
"279","Hawaii","48",7460
"280","Hawaii","49",340
"281","Hawaii","51",3790
"282","Hawaii","52",18650
"283","Hawaii","53",9250
"284","Hawaii","54",34030
"285","Hawaii","55",9330
"286","Hawaii","56",12550
"287","Hawaii","61",65000
"288","Hawaii","62",108510
"289","Hawaii","71",5340
"290","Hawaii","72",62610
"291","Hawaii","81",21880
"292","Hawaii","99",47180
"293","Idaho","11",120
"294","Idaho","21",110
"295","Idaho","22",650
"296","Idaho","23",10960
"297","Idaho","31",15560
"298","Idaho","32",2820
"299","Idaho","33",7320
"300","Idaho","42",28100
"301","Idaho","44",64110
"302","Idaho","45",20960
"303","Idaho","48",3620
"304","Idaho","49",600
"305","Idaho","51",5210
"306","Idaho","52",30150
"307","Idaho","53",7210
"308","Idaho","54",55570
"309","Idaho","55",4500
"310","Idaho","56",18320
"311","Idaho","61",80070
"312","Idaho","62",157180
"313","Idaho","71",8140
"314","Idaho","72",31150
"315","Idaho","81",13610
"316","Idaho","99",49610
"317","Illinois","11",590
"318","Illinois","21",1420
"319","Illinois","22",18170
"320","Illinois","23",93940
"321","Illinois","31",153360
"322","Illinois","32",75990
"323","Illinois","33",127890
"324","Illinois","42",311480
"325","Illinois","44",464090
"326","Illinois","45",140400
"327","Illinois","48",85390
"328","Illinois","49",11970
"329","Illinois","51",94720
"330","Illinois","52",414890
"331","Illinois","53",62230
"332","Illinois","54",626220
"333","Illinois","55",124170
"334","Illinois","56",170290
"335","Illinois","61",831660
"336","Illinois","62",1341930
"337","Illinois","71",62440
"338","Illinois","72",288320
"339","Illinois","81",190260
"340","Illinois","99",284430
"341","Indiana","11",190
"342","Indiana","21",290
"343","Indiana","22",9380
"344","Indiana","23",43520
"345","Indiana","31",101680
"346","Indiana","32",35620
"347","Indiana","33",104840
"348","Indiana","42",123790
"349","Indiana","44",253650
"350","Indiana","45",79580
"351","Indiana","48",29350
"352","Indiana","49",6370
"353","Indiana","51",29200
"354","Indiana","52",140490
"355","Indiana","53",27650
"356","Indiana","54",178000
"357","Indiana","55",42330
"358","Indiana","56",63850
"359","Indiana","61",367110
"360","Indiana","62",746080
"361","Indiana","71",24360
"362","Indiana","72",132510
"363","Indiana","81",79140
"364","Indiana","99",128660
"365","Iowa","11",480
"366","Iowa","21",390
"367","Iowa","22",2190
"368","Iowa","23",21110
"369","Iowa","31",52050
"370","Iowa","32",12400
"371","Iowa","33",32690
"372","Iowa","42",65170
"373","Iowa","44",120930
"374","Iowa","45",39630
"375","Iowa","48",7430
"376","Iowa","49",2160
"377","Iowa","51",20950
"378","Iowa","52",124920
"379","Iowa","53",8680
"380","Iowa","54",71860
"381","Iowa","55",24120
"382","Iowa","56",33550
"383","Iowa","61",234560
"384","Iowa","62",370070
"385","Iowa","71",12800
"386","Iowa","72",61010
"387","Iowa","81",29180
"388","Iowa","99",66380
"389","Kansas","21",1150
"390","Kansas","22",2140
"391","Kansas","23",18840
"392","Kansas","31",33010
"393","Kansas","32",9100
"394","Kansas","33",29160
"395","Kansas","42",57460
"396","Kansas","44",104800
"397","Kansas","45",32080
"398","Kansas","48",8680
"399","Kansas","49",3020
"400","Kansas","51",13060
"401","Kansas","52",81010
"402","Kansas","53",11280
"403","Kansas","54",98020
"404","Kansas","55",29820
"405","Kansas","56",44210
"406","Kansas","61",182040
"407","Kansas","62",337140
"408","Kansas","71",5990
"409","Kansas","72",52700
"410","Kansas","81",23780
"411","Kansas","99",82980
"412","Kentucky","11",200
"413","Kentucky","21",1230
"414","Kentucky","22",3160
"415","Kentucky","23",18910
